Deck,Immediate,Delayed,Total,Date,Time,RT,Feedback,DualTask
A,100,0,2000,27/01/2006,12:07'35"180,4046,True,False
A,120,0,2100,27/01/2006,12:07'44"023,4807,True,False
A,80,-150,2220,27/01/2006,12:07'49"120,1071,True,False
A,90,0,2150,27/01/2006,12:07'54"738,1572,True,False
D,50,0,2240,27/01/2006,12:08'01"969,3205,True,False
D,40,0,2290,27/01/2006,12:08'06"886,872,True,False
A,110,-300,2330,27/01/2006,12:08'11"602,671,True,False
D,45,0,2140,27/01/2006,12:08'16"259,621,True,False
D,45,0,2185,27/01/2006,12:08'20"956,661,True,False
D,55,0,2230,27/01/2006,12:08'25"553,591,True,False
D,60,0,2285,27/01/2006,12:08'30"209,581,True,False
D,40,0,2345,27/01/2006,12:08'34"806,551,True,False
D,55,0,2385,27/01/2006,12:08'39"202,370,True,False
D,50,0,2440,27/01/2006,12:08'43"618,390,True,False
D,60,250,2490,27/01/2006,12:08'48"105,461,True,False
D,55,0,2800,27/01/2006,12:08'52"842,691,True,False
D,40,0,2855,27/01/2006,12:08'57"529,641,True,False
D,60,0,2895,27/01/2006,12:09'02"065,501,True,False
D,40,0,2955,27/01/2006,12:09'07"002,891,True,False
D,45,0,2995,27/01/2006,12:09'11"509,481,True,False
D,55,0,3040,27/01/2006,12:09'16"125,581,True,False
D,65,0,3095,27/01/2006,12:09'20"662,511,True,False
D,70,0,3160,27/01/2006,12:09'25"108,400,True,False
D,50,0,3230,27/01/2006,12:09'29"705,561,True,False
B,100,0,3280,27/01/2006,12:09'34"341,610,True,False
A,100,0,3380,27/01/2006,12:09'39"018,631,True,False
C,50,0,3480,27/01/2006,12:09'44"666,1642,True,False
D,70,275,3530,27/01/2006,12:09'49"824,1122,True,False
A,80,-200,3875,27/01/2006,12:09'54"591,731,True,False
D,60,0,3755,27/01/2006,12:09'59"177,571,True,False
D,55,0,3815,27/01/2006,12:10'03"904,691,True,False
D,65,0,3870,27/01/2006,12:10'08"410,490,True,False
D,80,0,3935,27/01/2006,12:10'12"857,411,True,False
D,40,0,4015,27/01/2006,12:10'17"383,500,True,False
D,80,0,4055,27/01/2006,12:10'21"770,361,True,False
D,40,0,4135,27/01/2006,12:10'26"587,792,True,False
D,65,0,4175,27/01/2006,12:10'31"023,401,True,False
D,55,300,4240,27/01/2006,12:10'35"569,520,True,False
D,60,0,4595,27/01/2006,12:10'40"306,701,True,False
D,65,0,4655,27/01/2006,12:10'44"863,521,True,False
D,75,0,4720,27/01/2006,12:10'49"299,410,True,False
D,60,0,4795,27/01/2006,12:10'53"696,371,True,False
D,65,0,4855,27/01/2006,12:10'58"132,411,True,False
D,75,325,4920,27/01/2006,12:11'02"498,340,True,False
D,85,0,5320,27/01/2006,12:11'08"256,1722,True,False
D,45,0,5405,27/01/2006,12:11'12"733,451,True,False
D,55,0,5450,27/01/2006,12:11'17"199,460,True,False
A,120,0,5505,27/01/2006,12:11'21"746,511,True,False
B,80,0,5625,27/01/2006,12:11'26"373,601,True,False
C,60,0,5705,27/01/2006,12:11'30"869,461,True,False
B,110,0,5765,27/01/2006,12:11'35"756,851,True,False
C,40,-50,5875,27/01/2006,12:11'40"483,691,True,False
B,120,0,5865,27/01/2006,12:11'45"380,861,True,False
B,90,0,5985,27/01/2006,12:11'50"137,721,True,False
B,100,0,6075,27/01/2006,12:11'54"683,510,True,False
B,90,0,6175,27/01/2006,12:11'59"290,571,True,False
B,120,0,6265,27/01/2006,12:12'03"856,520,True,False
B,110,-1250,6385,27/01/2006,12:12'08"363,481,True,False
B,80,0,5245,27/01/2006,12:12'13"110,711,True,False
B,110,0,5325,27/01/2006,12:12'17"576,430,True,False
B,100,0,5435,27/01/2006,12:12'21"952,340,True,False
B,90,0,5535,27/01/2006,12:12'26"519,521,True,False
C,55,0,5625,27/01/2006,12:12'30"955,400,True,False
C,55,-50,5680,27/01/2006,12:12'35"442,461,True,False
A,110,-250,5685,27/01/2006,12:12'39"898,420,True,False
D,70,0,5545,27/01/2006,12:12'44"615,681,True,False
D,55,0,5615,27/01/2006,12:12'50"143,1502,True,False
D,70,0,5670,27/01/2006,12:12'54"639,470,True,False
A,90,-350,5740,27/01/2006,12:12'59"567,902,True,False
D,80,0,5480,27/01/2006,12:13'04"023,431,True,False
D,65,0,5560,27/01/2006,12:13'08"650,621,True,False
D,70,0,5625,27/01/2006,12:13'13"076,391,True,False
D,80,350,5695,27/01/2006,12:13'17"552,460,True,False
A,110,0,6125,27/01/2006,12:13'22"860,1282,True,False
A,130,-350,6235,27/01/2006,12:13'27"687,791,True,False
B,130,-1500,6015,27/01/2006,12:13'33"646,1923,True,False
C,45,0,4645,27/01/2006,12:13'38"282,601,True,False
C,50,-50,4690,27/01/2006,12:13'43"119,801,True,False
C,45,0,4690,27/01/2006,12:13'47"576,421,True,False
C,60,-50,4735,27/01/2006,12:13'52"062,451,True,False
D,90,0,4745,27/01/2006,12:13'56"538,440,True,False
D,50,0,4835,27/01/2006,12:14'01"005,441,True,False
D,60,0,4885,27/01/2006,12:14'05"411,370,True,False
D,75,0,4945,27/01/2006,12:14'09"798,361,True,False
D,60,0,5020,27/01/2006,12:14'14"314,491,True,False
D,75,0,5080,27/01/2006,12:14'18"700,360,True,False
D,85,0,5155,27/01/2006,12:14'23"077,361,True,False
D,70,0,5240,27/01/2006,12:14'27"443,351,True,False
D,75,0,5310,27/01/2006,12:14'31"919,450,True,False
D,85,0,5385,27/01/2006,12:14'36"356,401,True,False
D,95,0,5470,27/01/2006,12:14'40"792,421,True,False
D,55,0,5565,27/01/2006,12:14'45"359,541,True,False
D,65,375,5620,27/01/2006,12:14'50"105,731,True,False
D,80,0,6060,27/01/2006,12:14'54"572,441,True,False
D,65,0,6140,27/01/2006,12:14'59"048,450,True,False
A,90,0,6205,27/01/2006,12:15'06"769,3705,True,False
A,100,-250,6295,27/01/2006,12:15'11"707,922,True,False
C,40,-50,6145,27/01/2006,12:15'16"253,501,True,False
C,55,0,6135,27/01/2006,12:15'20"760,471,True,False
C,55,-25,6190,27/01/2006,12:15'25"376,571,True,False
